date,value
2024-06-01 03:18:51,99
2024-06-01 03:18:56,99
2024-06-01 03:19:00,98
2024-06-01 03:19:02,98
2024-06-01 03:19:07,103
2024-06-01 03:19:16,113
2024-06-01 03:19:21,114
2024-06-01 03:19:23,113
2024-06-01 03:19:28,112
2024-06-01 03:19:32,113
2024-06-01 03:19:37,115
2024-06-01 03:19:45,121
2024-06-01 03:19:47,122
2024-06-01 03:19:55,131
2024-06-01 03:19:58,132
2024-06-01 03:20:04,134
2024-06-01 03:20:11,138
2024-06-01 03:20:16,140
2024-06-01 03:20:20,139
2024-06-01 03:20:25,135
2024-06-01 03:20:30,136
2024-06-01 03:20:36,139
2024-06-01 03:20:41,140
2024-06-01 03:20:45,138
2024-06-01 03:20:50,137
2024-06-01 03:20:54,136
2024-06-01 03:20:57,136
2024-06-01 03:21:05,138
2024-06-01 03:21:11,142
2024-06-01 03:21:13,144
2024-06-01 03:21:21,146
2024-06-01 03:21:22,146
2024-06-01 03:21:30,142
2024-06-01 03:21:36,140
2024-06-01 03:21:41,138
2024-06-01 03:21:43,138
2024-06-01 03:21:50,136
2024-06-01 03:21:54,136
2024-06-01 03:21:58,134
2024-06-01 03:22:06,127
2024-06-01 03:22:11,126
2024-06-01 03:22:12,127
2024-06-01 03:22:17,126
2024-06-01 03:22:23,127
2024-06-01 03:22:27,128
2024-06-01 03:22:32,127
2024-06-01 03:22:37,126
2024-06-01 03:22:46,128
2024-06-01 03:22:47,130
2024-06-01 03:22:55,139
2024-06-01 03:22:59,142
2024-06-01 03:23:05,142
2024-06-01 03:23:10,142
2024-06-01 03:23:16,142
2024-06-01 03:23:17,141
2024-06-01 03:23:22,139
2024-06-01 03:23:28,131
2024-06-01 03:23:36,121
2024-06-01 03:23:37,121
2024-06-01 03:23:44,120
2024-06-01 03:23:48,120
2024-06-01 03:23:53,117
2024-06-01 03:34:04,138
2024-06-01 03:37:09,133
2024-06-01 03:41:27,91
2024-06-01 03:27:58,85
2024-06-01 03:44:14,92
2024-06-01 03:53:13,115
2024-06-01 03:53:18,109
2024-06-01 03:53:22,108
2024-06-01 03:53:26,109
2024-06-01 03:53:31,111
2024-06-01 03:53:34,113
2024-06-01 03:53:41,114
2024-06-01 03:53:47,115
2024-06-01 03:53:51,114
2024-06-01 03:53:57,113
2024-06-01 03:54:03,111
2024-06-01 03:54:07,112
2024-06-01 03:54:09,112
2024-06-01 03:54:15,110
2024-06-01 03:54:19,110
2024-06-01 03:54:26,108
2024-06-01 03:54:29,107
2024-06-01 03:54:36,112
2024-06-01 03:54:43,113
2024-06-01 03:54:48,110
2024-06-01 03:54:53,109
2024-06-01 03:54:54,109
2024-06-01 03:54:59,109
2024-06-01 03:55:07,109
2024-06-01 03:55:12,109
2024-06-01 03:55:18,107
2024-06-01 03:55:19,108
2024-06-01 03:55:25,110
2024-06-01 03:55:32,104
2024-06-01 03:55:37,103
2024-06-01 03:55:43,104
2024-06-01 03:55:46,104
2024-06-01 03:55:50,104
2024-06-01 03:55:57,102
2024-06-01 03:56:02,103
2024-06-01 03:56:04,103
2024-06-01 03:56:13,101
2024-06-01 03:56:14,101
2024-06-01 03:56:23,102
2024-06-01 03:56:26,102
2024-06-01 03:56:30,100
2024-06-01 03:56:37,99
2024-06-01 03:56:41,99
2024-06-01 03:56:48,99
2024-06-01 03:56:53,98
2024-06-01 03:56:54,99
2024-06-01 03:57:00,96
2024-06-01 03:57:04,96
2024-06-01 03:57:11,93
2024-06-01 03:57:17,97
2024-06-01 03:57:20,97
2024-06-01 03:57:27,94
2024-06-01 03:57:32,98
2024-06-01 03:57:37,100
2024-06-01 03:57:43,99
2024-06-01 03:57:45,98
2024-06-01 03:57:50,99
2024-06-01 03:57:57,94
2024-06-01 03:58:01,92
2024-06-01 03:58:07,92
2024-06-01 04:02:41,94
2024-06-01 04:05:25,99
2024-06-01 04:11:42,100
2024-06-01 04:25:44,124
2024-06-01 04:14:01,85
2024-06-01 04:27:38,117
2024-06-01 04:27:42,119
2024-06-01 04:27:48,121
2024-06-01 04:27:52,123
2024-06-01 04:27:55,123
2024-06-01 04:28:00,125
2024-06-01 04:28:04,127
2024-06-01 04:28:12,131
2024-06-01 04:28:17,131
2024-06-01 04:28:19,131
2024-06-01 04:28:27,124
2024-06-01 04:28:29,123
2024-06-01 04:28:34,120
2024-06-01 04:28:42,114
2024-06-01 04:28:47,112
2024-06-01 04:28:49,110
2024-06-01 04:28:56,99
2024-06-01 04:29:01,92
2024-06-01 04:29:05,96
2024-06-01 04:29:13,110
2024-06-01 04:29:17,113
2024-06-01 04:29:23,113
